Country: IESE EMBA BCN 26-1,,,,,
Final inventory,0,$0,$0.00,,
,,,,,
Section 3,,,,,
Description,Costs,,,,
Cost of Assembly A Consumed,$0,,,,
Assembly A Holding Cost,$0,,,,
Cost of Assembly B Consumed,$0,,,,
Assembly B Holding Cost,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Assembly C Produced,$0,,,,
,,,,,
Section 3,,,,,
,Assembly A,$,$ / Assembly A,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly B,$,$ / Assembly B,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly C,$,$ / Assembly C,,
Initial inventory,0,$0,$0.00,,
Production,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,,,,,
Section 4,,,,,
Description,Costs,,,,
Cost of Piece 2 Consumed,$0,,,,
Cost of Piece 3 Consumed,$0,,,,
Cost of Piece 4 Consumed,$0,,,,
Cost of Piece 5 Consumed,$0,,,,
Cost of Piece 6 Consumed,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Assembly D Produced,$0,,,,
,,,,,
Section 4,,,,,
,Piece 2,$,$ / Piece 2,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Piece 3,$,$ / Piece 3,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Piece 4,$,$ / Piece 4,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Piece 5,$,$ / Piece 5,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Piece 6,$,$ / Piece 6,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly D,$,$ / Assembly D,,
Initial inventory,0,$0,$0.00,,
Production,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,,,,,
Section 5,,,,,
Description,Costs,,,,
Cost of Assembly C Consumed,$0,,,,
Assembly C Holding Cost,$0,,,,
Cost of Assembly D Consumed,$0,,,,
Assembly D Holding Cost,$0,,,,
Direct and Indirect Costs,$0,,,,
Value of Electroclean Produced,$0,,,,
,,,,,
Section 5,,,,,
,Assembly C,$,$ / Assembly C,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Assembly D,$,$ / Assembly D,,
Initial inventory,0,$0,$0.00,,
Inputs,0,$0,$0.00,,
Consumption,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,Electroclean,$,$ / Electroclean,,
Initial inventory,0,$0,$0.00,,
Received,0,$0,$0.00,,
Production,0,$0,$0.00,,
Shipped,0,$0,$0.00,,
COGS,0,$0,$0.00,,
  Sales,0,$0,$0.00,,
  Improvements,0,$0,$0.00,,
  Disposal,0,$0,$0.00,,
Final inventory,0,$0,$0.00,,
,,,,,
